SPAC IPO ,Date of IPO,CUSIP
First Reserve Sustainable Growth Corp.,3/4/2021,336169206
Property Solutions Acquisition Corp. II,3/4/2021,74350A207
Lerer Hippeau Acquisition Corp.,3/4/2021,
Interprivate II Acquisition Corp.,3/4/2021,46064Q207
Interprivate III Financial Partners Inc.,3/4/2021,46064R205
InterPrivate IV InfraTech Partners Inc.,3/4/2021,46064T201
Warburg Pincus Capital Corp. I-A,3/4/2021,G9461D123
Warburg Pincus Capital Corp. I-B,3/4/2021,G9460M116
"dMY Technology Group, Inc. IV",3/4/2021,23344K201
Tailwind Two Acquisition Corp.,3/4/2021,G86613117
Twin Ridge Capital Acquisition Corp.,3/3/2021,G9151L112
Altimar Acquisition Corp. III,3/3/2021,G0370U124
FTAC Hera Acquisition Corp.,3/3/2021,G3728Y129
Atlantic Coastal Acquisition Corp.,3/3/2021,048453203
RXR Acquisition Corp.,3/3/2021,74981W206
Khosla Ventures Acquisition Co.,3/3/2021,
Aurora Acquisition Corp.,3/3/2021,G0698L111
M3-Brigade Acquisition II Corp.,3/3/2021,553800202
Roth CH Acquisition III Co.,3/2/2021,77867Q201
Isos Acquisition Corp.,3/2/2021,G4962C120
Live Oak Mobility Acquisition Corp.,3/2/2021,538126202
Mission Advancement Corp.,3/2/2021,60501L200
Arrowroot Acquisition Corp.,3/2/2021,04282M201
Goldenbridge Acquisition Ltd.,3/1/2021,G3970D112
Northern Star Investment Corp. IV,3/1/2021,66575B200
Northern Star Investment Corp. III,3/1/2021,66574L209
TCW Special Purpose Acquisition Corp.,3/1/2021,87301L205
"Advanced Merger Partners, Inc.",3/1/2021,00777J208
Anzu Special Acquisition Corp. I,3/1/2021,03737A200
"Supernova Partners Acquisition Co. II, Ltd.",3/1/2021,G8T86C113
Nightdragon Acquisition Corp.,3/1/2021,65413D204
Fintech Evolution Acquisition Group,3/1/2021,G3R19A112
Haymaker Acquisition Corp. III,3/1/2021,42087R207
DHB Capital Corp.,3/1/2021,23291W208
