,Unnamed: 0,conm,tic,CUSIP,Date of IPO,IS_SPAC,matched_name
2297,1467,STAR TECHNOLOGIES,STRR,85519310,,False,"('NANOSTRING TECHNOLOGIES INC', 86)"
2298,1468,TRIO-TECH INT'L,TRTC,89671210,,False,"('FIRST TRUST INT DUR PFD INCM', 86)"
2299,1469,EARTHWORM TRACTOR,WORM,27032510,,False,"('ARTHROCARE CORP', 62)"
2300,1470,FREEDOM FEDERAL S&L,FRFE,35637310,,False,"('CD&L INC', 86)"
2301,1471,ROSS INDUSTRIES,ROSX,77826610,,False,"('COMMONWEALTH INDUSTRIES INC', 86)"
2302,1472,"ACTION PACKETS, INC.",ACPK,504310,,False,"('QUALYS INC', 86)"
2303,1473,"HOWTEK, INC.",HOWT,44320910,,False,"('MARATHON DIGITAL HOLDNGS INC', 86)"
2304,1474,CATALYST ENERGY,CEDC,14887710,,False,"('TORTOISE ENERGY INDEPENDENCE', 86)"
2305,1475,"INFOLINE, INC.",INFL,45665710,,False,"('MARATHON DIGITAL HOLDNGS INC', 86)"
2306,1476,OPTICAL SPECIALITIES,OSIX,68384910,,False,"('SYBRON DENTAL SPECIALTIES', 71)"
2307,1477,SOUTHERN HOME SAVINGS,SHSB,84305510,,False,"('AT HOME CORP', 86)"
2308,1478,AST RESEARCH,ASTA,190710,,False,"('ACACIA RESEARCH CORP', 86)"
2309,1479,GENERAL METAL,GMET,37030010,,False,"('NATIONAL GENERAL HOLDINGS CP', 86)"
2310,1480,SATORI ENTERTAINMENT,SENT,80403010,,False,"('RHI ENTERTAINMENT INC', 78)"
2311,1481,AMER. BUSINESSPHONES,ABPI,2479510,,False,"('AMER BUSINESS FINL SVCS INC', 64)"
2312,1482,COMMERCIAL FEDERAL,CFCN,20164710,,False,"('LEEDS FEDERAL BANKSHARES INC', 86)"
2313,1483,WESTERN HEALTH PLANS,WHP,95830510,,False,"('WELLCARE HEALTH PLANS INC', 71)"
2314,1484,Centrafarm Group NV,CFNVF,80861910,,False,"('ING GROEP NV', 86)"
2315,1485,ConferTech International,CTEK,20690100,,False,"('PRA INTERNATIONAL', 83)"
2316,1486,Video Display,VIDE,92655500,,False,"('DIGITAL VIDEO SYSTEMS INC', 86)"
2317,1487,NuVision,NUVI,67092300,,False,"('ENVISION HEALTHCARE HLDGS', 79)"
2318,1488,Praxis Pharmaceuticals,PRAX,74005800,,False,"('AGIOS PHARMACEUTICALS', 88)"
2319,1489,Video Image,VIDI,92656000,,False,"('VIDEO SERVICES CORP', 86)"
2320,1490,American Mobile Systems,AMSE,2755900,,False,"('SYS', 90)"
2321,1491,PDA Engineering,PDAS,69326800,,False,"('ALTAIR ENGINEERING INC', 81)"
2322,1492,ICEE-USA,ICEE,45102800,,False,"('ALON USA PARTNERS LP', 86)"
2323,1493,Miltope Group,MILT,60219100,,False,"('KRAFT FOODS GROUP INC', 86)"
2324,1494,Western Capital Investment,WECA,95787800,,False,"('OFS CAPITAL CORP', 86)"
2325,1495,American MedCenters,AAMD,2744400,,False,"('AMERICAN HOMES 4 RENT', 70)"
2326,1496,Britton Lee,BLII,11110800,,False,"('BRITTON & KOONTZ CAP CORP', 86)"
2327,1497,Investment Technologies,IVES,46144900,,False,"('NIU TECHNOLOGIES', 82)"
2328,1498,Cardio-Pace Medical,CPMI,14159200,,False,"('CRH MEDICAL CORP', 66)"
2329,1499,Sands Regent,SNDS,80009100,,False,"('LAS VEGAS SANDS CORP', 86)"
2330,1500,Cellufone,CLFN,15116000,,False,"('CRYO-CELL INTERNATIONAL INC', 60)"
2331,1501,Empire-Orr,EORR,29201600,,False,"('EMPIRE STATE REALTY OP LP', 86)"
2332,1502,Inter-Active Services,ITAS,45816200,,False,"('INFRASOURCE SERVICES', 73)"
2333,1503,Computer Superstores,,20543800,,False,"('STORAGE COMPUTER CORP', 69)"
2334,1504,Fertil-A-Chron,FRTL,31552200,,False,"('ARTESIAN RESOURCES  -CL A', 86)"
2335,1505,Seismic Enterprises,SEIS,81607400,,False,"('SYKES ENTERPRISES INC', 75)"
2336,1506,MacroChem,MCHM,55607700,,False,"('MACROCURE LTD', 64)"
2337,1507,Venus Cruise Line,VNUS,92330600,,False,"('PREFORMED LINE PRODUCTS CO', 86)"
2338,1508,Data Translation,DATX,23801500,,False,"('PINNACLE DATA SYSTEMS INC', 86)"
2339,1509,Detroit & Northern Savings,DNSF,25072400,,False,"('ENI SPA', 64)"
2340,1510,Union Federal Savings & Loan,UFSL,90659400,,False,"('FEDERAL TRUST CORP', 86)"
2341,1511,Western Federal Savings Bank,WFPR,95817100,,False,"('OPUS BANK', 86)"
2342,1512,Yukon Energy,YUKN,98847800,,False,"('TORTOISE ENERGY INDEPENDENCE', 86)"
2343,1513,WMD Micro Distributors,WMDM,92928800,,False,"('AMCON DISTRIBUTING CO', 65)"
2344,1514,Business Computer Solutions,BCSI,12390200,,False,"('CHARAH SOLUTIONS', 86)"
2345,1515,First Fed S&L of Kalamazoo,FFKZ,31992800,,False,"(""FRANK'S INTL NV"", 86)"
2346,1516,Pasta and Cheese,PANC,702853102,,False,"('NUVEEN PREFERRED AND IN FUND', 86)"
2347,1517,Scientific Measurement Systems,SCMS,80876600,,False,"('VEEVA SYSTEMS INC', 86)"
2348,1518,Salick Health Care,SHCI,79469000,,False,"('SURGICAL CARE AFFILIATES INC', 86)"
2349,1519,IP Timberlands LP,IPT,44984210,,False,"('MPLX LP', 86)"
2350,1520,Metalbanc,MBAN,59113700,,False,"('FIRST FEDERAL BANCORP/MN', 70)"
2351,1521,Pizza Transit Authority,PTAI,72585300,,False,"('SPORTS AUTHORITY INC', 62)"
2352,1522,Cardinal Entertainment,CRNL,14149300,,False,"('CAESARS ENTERTAINMENT INC', 77)"
2353,1523,HealthWays Systems,HWSI,42191200,,False,"('SYS', 90)"
2354,1524,LSI Lighting Systems,LYTS,50216C00,,False,"('SYS', 90)"
2355,1525,PT Components,PTCS,69364600,,False,"('TAITRON COMPONENTS  -CL A', 86)"
2356,1526,XL/Datacomp,XLDC,98373500,,False,"('FACTUAL DATA CORP', 74)"
2357,1527,Dixcom,,25542500,,False,"('NETLOJIX COMMUNICATIONS INC', 75)"
2358,1528,Biocraft Laboratories,BCL,9058700,,False,"('PACIFICHEALTH LABORATORIES', 72)"
2359,1529,American Museum Hist Documents,AMHD,2766000,,False,"('AMERICAN FARMLAND CO', 86)"
2360,1530,Zeus Components,ZUSC,98950D00,,False,"('TAITRON COMPONENTS  -CL A', 86)"
2361,1531,Herman's Sporting Goods,HER,42749200,,False,"(""FRANK'S INTL NV"", 86)"
2362,1532,International American Homes,HOME,45900400,,False,"('LGI HOMES INC', 86)"
