SPAC IPO ,Date of IPO,CUSIP,MergeKey,ClosestMatch
SilverSPAC Inc.,9/9/2021,G8136V120,SILVERspac Inc,"('SILVERspac Inc', 100, 14805)"
Bannix Acquisition Corp.,9/9/2021,66644204,Bannix Acquisition Corp,"('Bannix Acquisition Corp', 100, 14802)"
"First Light Acquisition Group, Inc.",9/9/2021,320703200,First Light Acquisition Group,"('First Light Acquisition Group', 95, 14803)"
Future Health ESG Corp.,9/9/2021,36118W201,Future Health ESG Corp,"('Future Health ESG Corp', 100, 14804)"
Banner Acquisition Corp.,9/7/2021,06654K200,Banner Acquisition Corp,"('Banner Acquisition Corp', 100, 14801)"
Digital World Acquisition Corp.,9/2/2021,25400Q204,Digital World Acquisition Corp,"('Digital World Acquisition Corp', 100, 14799)"
Oxus Acquisition Corp.,9/2/2021,G6859L113,Oxus Acquisition Corp,"('Oxus Acquisition Corp', 100, 14800)"
Insight Acquisition Corp.,9/1/2021,45784L209,Insight Acquisition Corp,"('Insight Acquisition Corp', 100, 14798)"
DTRT Health Acquisition Corp.,9/1/2021,23344T202,DTRT Health Acquisition Corp,"('DTRT Health Acquisition Corp', 100, 14797)"
Concord Acquisition Corp. II,8/31/2021,20607U207,Concord Acquisition Corp II,"('Concord Acquisition Corp II', 98, 14796)"
CHW Acquisition Corp.,8/30/2021,G2254A117,CHW Acquisition Corp,"('CHW Acquisition Corp', 100, 14793)"
Alpine Acquisition Corp.,8/30/2021,02083L208,,
Springwater Special Situations Corp.,8/25/2021,85205U206,Springwater Special Situations,"('Springwater Special Situations', 95, 14791)"
Minority Equality Opportunities Acquisition Inc.,8/25/2021,60436Q209,Minority Equality Opportunit,"('Minority Equality Opportunit', 90, 14789)"
Cascadia Acquisition Corp.,8/25/2021,14739D209,Cascadia Acquisition Corp,"('Cascadia Acquisition Corp', 100, 14788)"
Waverley Capital Acquisition Corp. 1,8/19/2021,G06536125,Waverley Capital Acquisition I,"('Waverley Capital Acquisition I', 92, 14787)"
Jupiter Acquisition Corp.,8/12/2021,482082203,,
CENAQ Energy Corp.,8/12/2021,15130M201,CENAQ Energy Corp,"('CENAQ Energy Corp', 100, 14782)"
Armada Acquisition Corp. I,8/12/2021,04208V202,Armada Acquisition Corp. I,"('Armada Acquisition Corp. I', 100, 14780)"
AxonPrime Infrastructure Acquisition Corp.,8/12/2021,05467C207,AxonPrime Infrastructure Acq,"('AxonPrime Infrastructure Acq', 87, 14781)"
Kensington Capital Acquisition Corp. V,8/12/2021,G5251K111,,
PHP Ventures Acquisition Corp.,8/11/2021,69291C205,PHP Ventures Acquisition Corp,"('PHP Ventures Acquisition Corp', 100, 14778)"
AfterNext HealthTech Acquisition Corp.,8/11/2021,G01109118,AfterNext HealthTech Acquisiti,"('AfterNext HealthTech Acquisiti', 90, 14776)"
Oxbridge Acquisition Corp.,8/11/2021,G6855L125,Oxbridge Acquisition Corp,"('Oxbridge Acquisition Corp', 100, 14777)"
TPB Acquisition Corp. I,8/10/2021,G8990L119,TPB Acquisition Corp I,"('TPB Acquisition Corp I', 98, 14774)"
10X Capital Venture Acquisition Corp. II,8/10/2021,G87076124,,
