,offer date,IPO name,ticker,CUSIP,Rollup,VC,Dual,Internet,Post-issue shares,CRSP perm,Founding,Unnamed: 11,Unnamed: 12,Unnamed: 13,formatted offer date
14319,2021-02-26,Freedom Acquisition I Corp,FACT.,G3663X102,0,0,1,0,37500000,20990,2020,,,,02/26/2021
14320,2021-02-26,Fusion Acquisition Corp II,FSNB.,36118N201,0,0,1,0,54375000,20932,2021,,,,02/26/2021
14321,2021-02-26,Ibere Pharmaceuticals,IBER.,G46843127,0,0,1,0,15000000,20995,2020,,,,02/26/2021
14322,2021-02-26,Kensington Capital Acq Corp II,KCAC.,49006L203,0,0,1,0,25000000,20948,2021,,,,02/26/2021
14323,2021-02-26,Leo Holdings III Corp,LIII.,G5463T116,0,0,1,0,30000000,.,2021,,,,02/26/2021
14324,2021-02-26,MCAP Acquisition Corp,MACQU,55282T208,0,0,1,0,34375000,.,2020,,,,02/26/2021
14325,2021-02-26,Silverbox Engaged Merger Corp,SBEAU,82836L200,0,0,1,0,37500000,21093,2020,,,,02/26/2021
14326,2021-02-26,Twelve Seas Investment Co II,TWLVU,90118T205,0,0,1,0,38575000,21108,2020,,,,02/26/2021
14327,2021-02-26,Warrior Tech Acq Co,WARR.,936273200,0,0,1,0,30000000,20979,2020,,,,02/26/2021
14328,2021-03-02,Advanced Merger Partners Inc,AMPI.,00777J208,0,0,1,0,31250000,20906,2020,,,,03/02/2021
14329,2021-03-02,Anzu Special Acq Corp I,ANZUU,03737A200,0,0,1,0,52500000,21019,2020,,,,03/02/2021
14330,2021-03-02,Arrowroot Acquisition Corp,ARRWU,04282M201,0,0,1,0,31250000,21023,2020,,,,03/02/2021
14331,2021-03-02,DHB Capital Corp,DHBCU,23291W208,0,0,1,0,31250000,21033,2020,,,,03/02/2021
14332,2021-03-02,DHC Acquisition Corp,DHCAU,G2758T125,0,0,1,0,37500000,21034,2020,,,,03/02/2021
14333,2021-03-02,FinTech Evolution Acq Group,FTEV.,G3R19A112,0,0,1,0,29750000,20994,2020,,,,03/02/2021
14334,2021-03-02,Goldenbridge Acquisition Ltd,GBRGU,G3970D112,0,0,1,0,6625000,21052,2019,,,,03/02/2021
14335,2021-03-02,Haymaker Acquisition Corp III,HYACU,42087R207,0,0,1,0,37500000,21061,2020,,,,03/02/2021
14336,2021-03-02,Live Oak Mobility Acq Corp,LOKM.,538126202,0,0,1,0,27500000,20950,2021,,,,03/02/2021
14337,2021-03-02,Nightdragon Acquisition Corp,NDACU,65413D204,0,0,1,0,38400000,21080,2020,,,,03/02/2021
14338,2021-03-02,Northern Star Invest Corp III,NSTC.,66574L209,0,0,1,0,43750000,20953,2020,,,,03/02/2021
14339,2021-03-02,Northern Star Invest Corp IV,NSTD.,66575B200,0,0,1,0,43750000,20954,2020,,,,03/02/2021
14340,2021-03-02,Orion Acquisition Corp,OHPAU,68626A207,0,0,1,0,45000000,21083,2020,,,,03/02/2021
14341,2021-03-02,Supernova Partners Acq Co II,SNII.,G8T86C113,0,0,1,0,37500000,21007,2020,,,,03/02/2021
14342,2021-03-02,TCW Special Purpose Acq Corp,TSPQ.,87301L205,0,0,1,0,56250000,20970,2020,,,,03/02/2021
14343,2021-03-03,Isos Acquisition Corp,ISOS.,G4962C120,0,0,1,0,28125000,.,2020,,,,03/03/2021
14344,2021-03-03,Mission Advancement Corp,MACC.,60501L200,0,0,1,0,37500000,20952,2020,,,,03/03/2021
14345,2021-03-03,Oscar Health Inc,OSCR,687793109,0,1,1,1,203142236,20646,2012,,,,03/03/2021
14346,2021-03-03,Roth CH Acquisition III Co,ROCRU,77867Q201,0,0,1,0,12500000,20869,2019,,,,03/03/2021
14347,2021-03-04,Altimar Acquisition Corp III,ATAQ.,G0370U124,0,0,1,0,16875000,20980,2021,,,,03/04/2021
14348,2021-03-04,Atlantic Coastal Acq Corp,ACAHU,48453203,0,0,1,0,37500000,.,2020,,,,03/04/2021
14349,2021-03-04,Aurora Acquisition Corp,AURCU,G0698L111,0,0,1,0,36000000,21025,2020,,,,03/04/2021
14350,2021-03-04,FTAC Hera Acquisition Corp,HERAU,G3728Y129,0,0,1,0,102400000,21058,2021,,,,03/04/2021
14351,2021-03-04,InnovAge Holding Corp,INNV,45784A104,1,2,0,0,.,20647,2016,,,,03/04/2021
14352,2021-03-04,Khosla Ventures Acquisition Co,KVSA,482504107,0,0,1,0,35900000,20831,2021,,,,03/04/2021
14353,2021-03-04,M3-Brigade Acquisition II Corp,MBAC.,553800202,0,0,1,0,50000000,20951,2020,,,,03/04/2021
14354,2021-03-04,Property Solutions Acq Corp II,PSAGU,74350A207,0,0,1,0,38605000,21088,2020,,,,03/04/2021
14355,2021-03-04,RXR Acquisition Corp,RXRAU,74981W206,0,0,1,0,37500000,21092,2021,,,,03/04/2021
14356,2021-03-04,Twin Ridge Capital Acq Corp,TRCA.,G9151L112,0,0,1,0,25000000,21008,2021,,,,03/04/2021
14357,2021-03-05,Dmy Technology Group Inc IV,DMYQ.,23344K201,0,0,1,0,37500000,.,2020,,,,03/05/2021
14358,2021-03-05,First Reserve Sustainable,FRSGU,336169206,0,0,1,0,25000000,21045,2021,,,,03/05/2021
14359,2021-03-05,InterPrivate II Acq Corp,IPVA.,46064Q207,0,0,1,0,28325000,20945,2020,,,,03/05/2021
14360,2021-03-05,InterPrivate III Financial,IPVF.,46064R205,0,0,1,0,28950000,20946,2020,,,,03/05/2021
14361,2021-03-05,InterPrivate IV InfraTech,IPVIU,46064T201,0,0,1,0,31250000,21067,2020,,,,03/05/2021
14362,2021-03-05,Lerer Hippeau Acquisition Corp,LHAA,526749106,0,0,1,0,25640000,20838,2021,,,,03/05/2021
14363,2021-03-05,Tailwind Two Acq Corp,TWNT.,G86613117,0,0,1,0,37500000,21002,2020,,,,03/05/2021
14364,2021-03-05,Tribe Capital Growth Corp I,ATVCU,89601Y200,0,0,1,0,30000000,21270,2020,,,,03/05/2021
14365,2021-03-05,VPC Impact Acq Hldg II,VPCBU,G9460L100,0,0,1,0,28125000,21115,2021,,,,03/05/2021
14366,2021-03-05,VPC Impact Acq Hldg III Inc,VPCC.,91835J207,0,0,1,0,28125000,20975,2021,,,,03/05/2021
14367,2021-03-05,Warburg Pincus Capital I-A,WPCA.,G9461D123,0,0,1,0,31250000,21010,2020,,,,03/05/2021
14368,2021-03-05,Warburg Pincus Capital I-B,WPCB.,G9460M116,0,0,1,0,62500000,21009,2020,,,,03/05/2021
14369,2021-03-09,Gold Royalty Corp,GROY,38071H106,0,0,1,0,40825000,20700,2020,,,,03/09/2021
14370,2021-03-09,Independence Holdings Corp,ACQRU,G4761A119,0,0,1,0,54375000,21014,2020,,,,03/09/2021
14371,2021-03-09,Peridot Acquisition Corp II,PDOT.,G7008B113,0,0,1,0,45000000,21000,2021,,,,03/09/2021
14372,2021-03-09,SVF Invest Corp 2,SVFB,G8601M100,0,0,1,0,25700000,20875,2020,,,,03/09/2021
14373,2021-03-09,SVF Investment Corp 3,SVFC,G8601N108,0,0,1,0,35960000,20876,2020,,,,03/09/2021
14374,2021-03-10,Agile Growth Corp,AGGRU,G01202129,0,0,1,0,37500000,21015,2021,,,,03/10/2021
14375,2021-03-10,Colonnade Acquisition Corp II,CLAA.,G2284B127,0,0,1,0,37500000,20988,2020,,,,03/10/2021
14376,2021-03-10,Digital Transformation,DTOCU,25401K206,0,0,1,0,37500000,21035,2020,,,,03/10/2021
14377,2021-03-10,ESM Acquisition Corp,ESM.U,G3195H120,0,0,1,0,37500000,20989,2021,,,,03/10/2021
14378,2021-03-10,Forest Road Acq Corp II,FRXB.,34619V202,0,0,1,0,38125000,20931,2020,,,,03/10/2021
14379,2021-03-10,PWP Forward Acquisition Corp I,FRWAU,74709Q200,0,0,1,0,25000000,21046,2020,,,,03/10/2021
14380,2021-03-10,Roblox,RBLX,771049103,0,1,1,1,550450766,20648,2004,,,,03/10/2021
14381,2021-03-10,Sandbridge X2 Corp,SBII.,799792205,0,0,1,0,27500000,20962,2021,,,,03/10/2021
14382,2021-03-10,Vector Acquisition Corp II,VAQC,G9460A104,0,0,1,0,57350000,20883,2021,,,,03/10/2021
14383,2021-03-11,Archimedes Tech SPAC Partners,ATSPU,039562202,0,0,1,0,15810000,.,2020,,,,03/11/2021
14384,2021-03-11,Coupang Inc,CPNG,22266T109,0,1,1,1,1715140797,20682,2010,,,,03/11/2021
14385,2021-03-11,First High-School Educ Grp Co,FHS,320505100,0,0,1,0,86838700,20691,2011,,,,03/11/2021
14386,2021-03-11,Frontier Acq Corp,FRONU,G36826116,0,0,1,0,25600000,21293,2021,,,,03/11/2021
14387,2021-03-11,G&P Acquisition Corp,GAPA.,36146G202,0,0,1,0,21875000,21218,2020,,,,03/11/2021
14388,2021-03-11,L Catterton Asia Acquisition,LCAAU,G5346G109,0,0,1,0,31250000,21314,2021,,,,03/11/2021
14389,2021-03-11,Pine Tech Acq Corp,PTOCU,722850203,0,0,1,0,37500000,21327,2020,,,,03/11/2021
14390,2021-03-11,Silver Spike Acq Corp II,SPKBU,G8201H121,0,0,1,0,31250000,21334,2020,,,,03/11/2021
14391,2021-03-12,CF Acquisition Corp VIII,CFFEU,12520C208,0,0,1,0,22540000,21276,2020,,,,03/12/2021
14392,2021-03-12,FTAC Parnassus Acq Corp,FTPAU,30319B207,0,0,1,0,30253333,21295,2020,,,,03/12/2021
14393,2021-03-12,Gores Tech Partners Inc,GTPAU,382870202,0,0,1,0,30000000,21305,2020,,,,03/12/2021
14394,2021-03-12,Gores Technology Partners II,GTPBU,38287L206,0,0,1,0,50000000,21306,2020,,,,03/12/2021
14395,2021-03-12,Hayward Holdings Inc,HAYW,421298100,0,0,0,0,.,20649,1925,,,,03/12/2021
14396,2021-03-12,JOANN Inc,JOAN,47768J101,0,0,0,0,.,20823,1943,,,,03/12/2021
14397,2021-03-12,Longboard Pharmaceuticals Inc,LBPH,54300N103,0,1,0,0,.,20834,2020,,,,03/12/2021
14398,2021-03-12,Prometheus Biosciences Inc,RXDX,74349U108,0,1,0,0,.,20870,2016,,,,03/12/2021
14399,2021-03-12,Ross Acquisition Corp II,ROSS.,G7641C122,0,0,1,0,37500000,21255,2021,,,,03/12/2021
